organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
SO.GE.DI.CO S.R.L.,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2007-01-26,2010-01-26,DI.QU. S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2007-01-26; scadenza stimata 2010-01-26 assumendo validita triennale; ente certificatore: DI.QU. S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,CALDIERO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,SAN BONIFACIO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,ZEVIO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,LONIGO,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,CEGGIA,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,VERONELLA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,BADIA CALAVENA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
Cooperativa Sociale di Solidarietà Promozione Lavoro,LEGNAGO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: CSQA Certificazioni S.r.l.
SADA PARTECIPAZIONI S.R.L,SAN PIETRO IN CARIANO,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-23,2025-12-23,Bureau Veritas Italia S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-23; scadenza stimata 2025-12-23 assumendo validita triennale; ente certificatore: Bureau Veritas Italia S.p.A.
